epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5435,1.0608,2.63203,2.32259,0.55466,0.6875,0.6056,0.2884,0.7198,4.18171,1.68691,0.000473411,0.000473411,0.000473411
2,62.8804,0.25497,1.03918,1.0155,0.53508,0.68151,0.55367,0.53347,2.07942,2.45889,4.09454,0.00085572,0.00085572,0.00085572
3,93.1067,0.19025,0.8325,0.94153,0.55114,0.91778,0.70425,0.65654,1.35865,2.15711,2.90015,0.00114371,0.00114371,0.00114371
4,122.887,0.15654,0.74876,0.91946,0.51818,0.9375,0.7463,0.7389,0.41395,2.24236,1.00803,0.00100459,0.00100459,0.00100459
5,152.923,0.12981,0.68205,0.90133,0.78537,0.92816,0.9116,0.9116,0.14845,0.87289,0.49977,0.000863116,0.000863116,0.000863116
6,183.226,0.11302,0.64379,0.88997,0.644,0.6216,0.54338,0.4959,1.08635,2.92071,1.84677,0.000721645,0.000721645,0.000721645
7,212.834,0.09653,0.61253,0.88241,0.83145,0.86317,0.88224,0.88224,0.13581,0.75039,0.51391,0.000580174,0.000580174,0.000580174
8,243.066,0.08117,0.58784,0.87184,0.50196,1,0.77042,0.77042,0.12903,1.9323,0.50735,0.000438703,0.000438703,0.000438703
9,274.655,0.06959,0.56508,0.86812,0.76518,0.79264,0.82157,0.82157,0.12123,1.73126,0.50177,0.000297232,0.000297232,0.000297232
10,305.111,0.05892,0.53534,0.8625,0.51667,1,0.86993,0.86993,0.11362,1.71187,0.49848,0.000155761,0.000155761,0.000155761
